Date,Open,High,Low,Close,Turnover,Volume
2019/4/11,10710.09,10780.33,10366.5,10374.54,761,20191.1
2019/4/12,10377.45,10415.47,10264.43,10323.72,464,12313.41
2019/4/15,10445.48,10529.42,10189.83,10196.59,476,13746.43
2019/4/16,10174.44,10386.92,10131.4,10386.92,473,12811.96
2019/4/17,10398.96,10425.34,10321.1,10377.38,447,11761.36
2019/4/18,10388.56,10388.74,10281.74,10315.38,446,10419.22
2019/4/19,10317.47,10437.62,10262,10356.99,380,10163.81
2019/4/22,10348.63,10354.25,10193.63,10217.35,490,13433.09
2019/4/23,10209.57,10313.59,10204.96,10237.93,626,13892.32
2019/4/24,10256.11,10305.05,10118.15,10267.68,472,11540.15
2019/4/25,10258.17,10365.63,10154.86,10162.12,528,13386.75
2019/4/26,10113.23,10126.46,9937.33,9952.02,572,14044.6
2019/4/29,9974.16,10292.71,9974.16,10158.4,602,17057.91
2019/4/30,10072.69,10150.88,10050.13,10129.38,427,12831.62
2019/5/6,9823.49,9823.49,9480.25,9561.58,566,17319.33
2019/5/7,9562.87,9826.05,9530.74,9710.66,461,14938.4
2019/5/8,9485.91,9717.96,9465.34,9559.79,380,11499.07
2019/5/9,9447.25,9523.77,9245.69,9257.79,341,11038.88
2019/5/10,9334.91,9532.01,9151.37,9517.17,835,14909.39
2019/5/13,9381.77,9542.6,9336.32,9462.25,630,10941.18
2019/5/14,9397.82,9525.47,9363.05,9370.49,537,10763.14
2019/5/15,9445.88,9641.86,9436.72,9635.59,617,13375.55
2019/5/16,9602.98,9711.29,9533.43,9711.29,654,12473.55
2019/5/17,9687.03,9687.03,9453.95,9470.21,763,13711.25
2019/5/20,9441.25,9458.74,9205.96,9292.04,365,9712.44
2019/5/21,9281.28,9485.42,9266.2,9426.49,302,8701.74
2019/5/22,9417.09,9453.34,9309.93,9388.62,261,7528.29
2019/5/23,9362.51,9362.51,9144.95,9149.83,259,7524.31
2019/5/24,9138.01,9215.73,9098.46,9129.32,205,5706.51
2019/5/27,9140.42,9242.58,9026.48,9215.68,289,8338.84
2019/5/28,9203.18,9336.86,9202.73,9336.86,324,9283.65
2019/5/29,9250.7,9308.66,9184.77,9253.31,252,6939.86
2019/5/30,9188.7,9213.86,9102.7,9182.67,239,6659.12
2019/5/31,9225.83,9308.06,9210.8,9210.8,261,7831.35
2019/6/3,9198.99,9310.71,9176.22,9205.08,291,8150.24
2019/6/4,9194.24,9200.9,9016.34,9041.44,258,7704.32
2019/6/5,9057.35,9090.73,8669.68,8673.76,462,12997.7
2019/6/6,8660.87,8660.87,8505.68,8572.27,360,9372.61
2019/6/10,8575.59,8693.32,8500.81,8650.08,276,7206.56
2019/6/11,8651.68,8907.77,8651.68,8901.47,353,9831.43
2019/6/12,8875.44,8896.51,8823.92,8869.52,616,7920.48
2019/6/13,8881.37,8933.65,8784.31,8904.92,392,6579.19
2019/6/14,8921.02,9032.56,8886.54,8905.08,480,8675.36
2019/6/17,8973.9,9043.02,8915.11,8940.48,313,8211.62
2019/6/18,8963.86,9000.49,8894.65,8992.03,247,6733.17
2019/6/19,9157.67,9201.97,9116.71,9129.69,324,9401.6
2019/6/20,9136.23,9349.29,9118.05,9301.33,367,11220.07
2019/6/21,9332.92,9416.5,9319.02,9336.7,341,9948.29
2019/6/24,9356.77,9418.03,9279.57,9366.6,277,7696.83
2019/6/25,9365.65,9420.5,9224.62,9353.96,310,8513.12
2019/6/26,9340.7,9456.58,9326.44,9445.53,266,8063.85
2019/6/27,9440,9568.39,9439.96,9523.76,307,9250.52
2019/6/28,9544.75,9544.75,9432.38,9487.75,272,8020.68
2019/7/1,9637.49,9788.56,9629.78,9780.49,445,13226.99
2019/7/2,9761.52,9933.67,9729.25,9907.64,498,13823.4
2019/7/3,9882.74,9882.74,9710.16,9747.53,379,11786.49
2019/7/4,9763.92,9779.3,9522.51,9560,330,10330.81
2019/7/5,9597.79,9749.72,9596.57,9726.15,348,10249.73
2019/7/8,9665.57,9666.07,9430.66,9537.38,379,10854.55
2019/7/9,9538.14,9579.46,9469.55,9510.39,264,7232.03
2019/7/10,9553.43,9633.38,9512.93,9560.5,332,9062.93
2019/7/11,9587.64,9648.59,9498.52,9530.7,343,8850.19
2019/7/12,9525.71,9616.21,9513.35,9564.01,321,8278.35
2019/7/15,9572.3,9649.99,9446.15,9597.46,397,11021.87
